"name"	"3 months:Worst.Drawdown"	"3 months:StdDev.Sharpe..Rf.0.3...p.95..."	"3 months:Sortino.Ratio..MAR...0.."	"3 months:Annualized.Return"	"3 months:High"	"3 months:Low"	"3 months:Beta..SPY"	"3 months:Treynor.Ratio..SPY"	"3 months:Information.Ratio..SPY"	"3 months:Tracking.Error..SPY"	"1 year:Worst.Drawdown"	"1 year:StdDev.Sharpe..Rf.0.3...p.95..."	"1 year:Sortino.Ratio..MAR...0.."	"1 year:Annualized.Return"	"1 year:High"	"1 year:Low"	"1 year:Beta..SPY"	"1 year:Treynor.Ratio..SPY"	"1 year:Information.Ratio..SPY"	"1 year:Tracking.Error..SPY"	"2 years:Worst.Drawdown"	"2 years:StdDev.Sharpe..Rf.0.3...p.95..."	"2 years:Sortino.Ratio..MAR...0.."	"2 years:Annualized.Return"	"2 years:High"	"2 years:Low"	"2 years:Beta..SPY"	"2 years:Treynor.Ratio..SPY"	"2 years:Information.Ratio..SPY"	"2 years:Tracking.Error..SPY"	"3 years:Worst.Drawdown"	"3 years:StdDev.Sharpe..Rf.0.3...p.95..."	"3 years:Sortino.Ratio..MAR...0.."	"3 years:Annualized.Return"	"3 years:High"	"3 years:Low"	"3 years:Beta..SPY"	"3 years:Treynor.Ratio..SPY"	"3 years:Information.Ratio..SPY"	"3 years:Tracking.Error..SPY"	"5 years:Worst.Drawdown"	"5 years:StdDev.Sharpe..Rf.0.3...p.95..."	"5 years:Sortino.Ratio..MAR...0.."	"5 years:Annualized.Return"	"5 years:High"	"5 years:Low"	"5 years:Beta..SPY"	"5 years:Treynor.Ratio..SPY"	"5 years:Information.Ratio..SPY"	"5 years:Tracking.Error..SPY"	"quantity"	"price_"	"fed_taxcost"	"market_value"	"accruedincome"	"unrealizedgainloss"	"estimatedannual_income"	"yield"	"percent_of_portfolio"	"group"
"NMPAX"	-5.49	-0.473812190567553	0.00411826651078671	-5.55111512312578e-16	16.03	15.15	1.01312937010116	-0.514263794560847	-3.10159520286058	0.0377743746742484	-6.94	-0.318910319629553	0.0744721865508565	0.108401112394828	16.03	13.95	1.14307512305929	-0.410242665699309	-0.635937273247353	0.0463407607233231	-7.3	-0.252474923975339	0.15200358478262	0.236414027352602	16.03	11.39	1.11351498773686	-0.365882699634989	-0.152201662702427	0.0499016674786749	-11.09	-0.243245278652756	0.133804533378684	0.214241710404318	16.03	9.51	1.11308596802129	-0.375600277627962	0.02816900300357	0.0528155811724506	-26.27	-0.182319032384979	0.0793507601536184	0.166833914575529	16.03	7.25	1.1593179739143	-0.380289237234497	0.247801451325569	0.0621869039463392	"201202.3660"	15.21	1557357.49	3060287.99	0	1502930.5	32795.99	1.07	8.35	"U.S. MID CAP"
"NMSCX"	-7.08	-0.439904859760977	-0.0715176379570402	-0.10447548542154	23.88	22.19	1.1154935613722	-0.512059809387885	-3.19570554865947	0.0693544199637599	-7.11	-0.310855843994617	0.0132423280903497	0.0120649662520085	23.88	21.29	1.23897544114945	-0.415850078408027	-1.64650814962056	0.0764077379066784	-7.11	-0.227119084159121	0.137930305416441	0.231651367445515	23.88	16.63	1.18129845926228	-0.346829044240233	-0.175177672547763	0.07054424510404	-11.91	-0.222551426317079	0.120331652060348	0.206002401352916	23.88	13.98	1.17780357360986	-0.358327171947729	-0.093819340982771	0.0719632723487123	-26.61	-0.162138243047639	0.0743740058456008	0.166694867864538	23.88	10.29	1.25757439472458	-0.350635666184032	0.170325037122952	0.0896577426214331	"90865.4620"	22.25	1370000	2021756.53	0	651756.53	18536.55	0.92	5.52	"U.S. SMALL CAP"
"VEA"	-5.89	-0.557395382470801	-0.102736467262002	-0.125682779596581	43.09	40.55	0.96733824821749	-0.601010520128533	-5.10910193196123	0.0475315627112704	-7.04	-0.387724647332668	0.0236218425516579	0.0256901805043024	43.09	37.88	0.960591823818811	-0.529545239046735	-1.84647731725869	0.0607539274144287	-10.41	-0.294524236559754	0.0930767103225601	0.135570173201078	43.09	33.5	1.03603485481585	-0.440026950525328	-1.66774546547806	0.0650212956101898	-16.79	-0.247378155334888	0.0953980703429223	0.154304609112524	43.09	26.51	1.12158786991402	-0.398439045428096	-0.78911456892974	0.0740695221308426	-25.93	-0.192369778460914	0.0363936073692746	0.0678746724796431	43.09	24.77	1.21046444782693	-0.403509161947404	-0.909758488753581	0.0918367215886119	"28000"	41.58	938858.5	1164240	0	225381.5	36932	3.17	3.18	"INTERNATIONAL DEVELOPED"
"DEMIX"	-3.59	-0.297452853603636	0.140311361999641	0.194063539100736	18.39	17.2	1.07736562660966	-0.397051029936752	1.13300803484077	0.0678748229979114	-9.04	-0.289043926582246	0.103685795940255	0.151083217361739	18.39	14.8	0.949915870533361	-0.472071310646215	0.155975639483718	0.084707381204179	-14.2	-0.27505925258911	0.0951941227794964	0.144605554658859	18.39	13.11	0.979394067779254	-0.461042877662083	-1.15738561015817	0.0858863187715251	-20.34	-0.247333425059201	0.0955974907277806	0.153291264874887	18.39	11.32	1.03407412573088	-0.432629944140551	-0.670594034321174	0.088671655608958	-32.6	-0.217722903576824	0.0372940224164351	0.0655866654807429	18.39	11.06	1.02490183720858	-0.477632036042192	-0.913072815049007	0.0940091990788622	"58016.7510"	17.44	983000	1011812.14	0	28812.14	8934.58	0.88	2.76	"EMERGING MARKETS"
"ACFFX"	-3.8	-0.727548251888332	-0.140560992490208	-0.142026748982144	29.98	28.84	0.57087355892298	-1.03214870787327	-3.75294541708845	0.0690624401523881	-3.8	-0.467508845598502	0.0978907435321437	0.0948968117090474	29.98	26.33	0.556030596960364	-0.855027007060805	-0.540889186894356	0.07945087227039	-8.68	-0.412288065688693	0.118501140545857	0.125091045648638	29.98	23.18	0.569067109854097	-0.809944741292352	-1.40240831761239	0.0847956311812962	-8.68	-0.355733272828321	0.144506725495511	0.161296991879231	29.98	19.4	0.640165846556205	-0.692812273478781	-0.621120716082657	0.0828453389623496	-20.36	-0.271168508078208	0.0697965529169427	0.107986141178385	29.98	16.17	0.747134144324767	-0.627922034067861	-0.479552381139619	0.0905798199616293	"29630.2180"	29.39	620213.01	870832.11	0	250619.1	13244.71	1.52	2.38	"INTERNATIONAL DEVELOPED"
"PCLIX"	-8.55	-0.885581771610812	-0.354491825912029	-0.362640446947846	11.57	10.59	0.135075951527461	-5.14611307427865	-4.24837810866696	0.112937514965942	-9.33	-0.581315451057163	-0.00102426843320542	-0.00408858304438997	11.68	10.26	0.11206429190815	-4.666765532879	-1.18950517015662	0.119343333694905	-11.45	-0.47857000650537	-0.00500403832998762	-0.0104640366899279	11.68	10.05	0.300188386622914	-1.75237501106045	-2.1459078372876	0.118585326164827	-19.21	-0.373202788692703	0.0142841031145048	0.0122390526151468	11.68	9.17	0.479128096747025	-1.07516119753655	-1.62973470209631	0.123035298485434	-26.46	-0.272688429488916	0.0433132792167094	0.0665807465056683	12.47	7.9	0.49768719718392	-0.9826228633992	-0.744603727329727	0.152590887628294	"68128.4070"	11.05	773976.15	752818.9	0	-21157.25	8856.69	1.18	2.05	"COMMODITIES"
"VNQ"	-2.9	-0.430225935906406	0.0870067998801898	0.0906731754050489	77.92	74.44	0.66981091508149	-0.712815613620227	-0.335349243639437	0.0789852500879261	-3.23	-0.294012802629434	0.259166836273777	0.299229192772273	77.92	63.56	0.574757318166733	-0.656301141351078	1.74614304773564	0.0924083874869776	-17.97	-0.283134502918739	0.0860301788088566	0.127929537850669	77.92	60.99	0.818190956312108	-0.561673678999375	-1.11203497608858	0.104384851879483	-17.97	-0.276586439095286	0.0978256531974476	0.146129478972188	77.92	52.34	0.7896421533595	-0.570904287981201	-0.653227424553592	0.101992761882247	-22.64	-0.169719544223341	0.0749170277188266	0.162114379494715	77.92	34.73	1.07554703147725	-0.412021949167306	0.0899098988956564	0.118902035280227	"10000"	74.9	734857.63	749000	0	14142.37	27740	3.7	2.04	"PUBLIC REITS"
"RWX"	-4.22	-0.513446900527755	-0.0265651095974004	-0.0326034015122358	45.08	43.1	0.801383144827765	-0.66968809798333	-2.34399917641539	0.0638926081117371	-5.79	-0.369899450131001	0.109269238580762	0.128111141477191	45.08	38.1	0.755726467556465	-0.607975469320332	-0.130858940020036	0.0745825079336617	-18.03	-0.308775465791458	0.0557529316535625	0.0773334847456302	45.08	35.97	0.920993424754426	-0.525376351180428	-1.85443233500883	0.0898796123332569	-18.03	-0.250336985418333	0.122650577323551	0.185387884754487	45.08	27.98	0.959326954314527	-0.450257252384248	-0.317730246288426	0.0861298655221732	-23.39	-0.199216140746483	0.0550252599584905	0.10575337227906	45.08	23.51	1.06181985876178	-0.442851124536172	-0.479550940930728	0.0952360497020059	"13500"	43.98	596700	593730	0	-2970	26122.5	4.4	1.62	"PUBLIC REITS"
"FDAAX"	-0.44	-5.33398139537702	-0.160114523769981	-0.0163977093098586	9.17	9.13	-0.0421308057863325	12.553437257364	-1.44581466879649	0.0923759673165725	-0.44	-3.86112513271085	0.236657076258924	0.0193463534354736	9.17	9.01	-0.000455468601401886	1123.49180481831	-1.16753631666248	0.10151682160326	-0.68	-3.38915973072697	0.417886095163105	0.036723191326266	9.17	8.6	0.00222500751223336	-226.231551690651	-1.93160152671998	0.107312999042925	-1.2	-2.87719494746012	0.55134362800514	0.0534387126973688	9.17	7.95	0.0106659602858758	-46.4408171949271	-1.39144628988903	0.114496144479262	-5.46	-2.07300557921911	0.250095752060786	0.0502059543344764	9.17	7.26	0.0180182737202002	-27.5769640530328	-0.638246741662925	0.158587500072443	"43614.4710"	9.17	400380.85	399944.7	0	-436.15	15090.61	3.77	1.09	"GLOBAL HIGH YIELD TAXABLE"
"WFC"	-5.57	-0.463079347193349	-0.0468732451773318	-0.06395016554821	52.63	49.7	0.99061669750371	-0.556961174087337	-2.84446419741244	0.0636713884441471	-5.57	-0.24889641666746	0.158678891861994	0.237938068392604	52.63	43.51	0.969434500031163	-0.419505935338622	1.16933498188184	0.0855761099545119	-9.23	-0.193367246495019	0.189370856743614	0.312824055200926	52.63	33.03	1.01326175977522	-0.365837067425112	0.689183318142451	0.0998499372734699	-12.44	-0.163047540713235	0.152615641914207	0.298993204447065	52.63	26.34	1.15617307384927	-0.326375567281756	0.729158761154025	0.118272262368403	-32.18	-0.125077428703343	0.0659569502197972	0.170052219213879	52.63	21.1	1.36619555210894	-0.321593307428265	0.107954607937507	0.172556874093606	"7751"	50.9	236877.32	394525.9	0	157648.58	10851.4	2.75	1.08	"U.S. LARGE CAP"
