"Index"	"date"	"asset"	"price"
1	"Feb 2010"	"SPY.Adjusted.to.SPY.Adjusted"	0
2	"Mar 2010"	"SPY.Adjusted.to.SPY.Adjusted"	0
3	"Apr 2010"	"SPY.Adjusted.to.SPY.Adjusted"	0
4	"May 2010"	"SPY.Adjusted.to.SPY.Adjusted"	0
5	"Jun 2010"	"SPY.Adjusted.to.SPY.Adjusted"	0
6	"Jul 2010"	"SPY.Adjusted.to.SPY.Adjusted"	0
7	"Aug 2010"	"SPY.Adjusted.to.SPY.Adjusted"	0
8	"Sep 2010"	"SPY.Adjusted.to.SPY.Adjusted"	0
9	"Oct 2010"	"SPY.Adjusted.to.SPY.Adjusted"	0
10	"Nov 2010"	"SPY.Adjusted.to.SPY.Adjusted"	0
11	"Dec 2010"	"SPY.Adjusted.to.SPY.Adjusted"	0
12	"Jan 2011"	"SPY.Adjusted.to.SPY.Adjusted"	1
13	"Feb 2011"	"SPY.Adjusted.to.SPY.Adjusted"	1
14	"Mar 2011"	"SPY.Adjusted.to.SPY.Adjusted"	1
15	"Apr 2011"	"SPY.Adjusted.to.SPY.Adjusted"	1
16	"May 2011"	"SPY.Adjusted.to.SPY.Adjusted"	1
17	"Jun 2011"	"SPY.Adjusted.to.SPY.Adjusted"	1
18	"Jul 2011"	"SPY.Adjusted.to.SPY.Adjusted"	1
19	"Aug 2011"	"SPY.Adjusted.to.SPY.Adjusted"	1
20	"Sep 2011"	"SPY.Adjusted.to.SPY.Adjusted"	1
21	"Oct 2011"	"SPY.Adjusted.to.SPY.Adjusted"	1
22	"Nov 2011"	"SPY.Adjusted.to.SPY.Adjusted"	1
23	"Dec 2011"	"SPY.Adjusted.to.SPY.Adjusted"	1
24	"Jan 2012"	"SPY.Adjusted.to.SPY.Adjusted"	1
25	"Feb 2012"	"SPY.Adjusted.to.SPY.Adjusted"	1
26	"Mar 2012"	"SPY.Adjusted.to.SPY.Adjusted"	1
27	"Apr 2012"	"SPY.Adjusted.to.SPY.Adjusted"	1
28	"May 2012"	"SPY.Adjusted.to.SPY.Adjusted"	1
29	"Jun 2012"	"SPY.Adjusted.to.SPY.Adjusted"	1
30	"Jul 2012"	"SPY.Adjusted.to.SPY.Adjusted"	1
31	"Aug 2012"	"SPY.Adjusted.to.SPY.Adjusted"	1
32	"Sep 2012"	"SPY.Adjusted.to.SPY.Adjusted"	1
33	"Oct 2012"	"SPY.Adjusted.to.SPY.Adjusted"	1
34	"Nov 2012"	"SPY.Adjusted.to.SPY.Adjusted"	1
35	"Dec 2012"	"SPY.Adjusted.to.SPY.Adjusted"	1
36	"Jan 2013"	"SPY.Adjusted.to.SPY.Adjusted"	1
37	"Feb 2013"	"SPY.Adjusted.to.SPY.Adjusted"	1
38	"Mar 2013"	"SPY.Adjusted.to.SPY.Adjusted"	1
39	"Apr 2013"	"SPY.Adjusted.to.SPY.Adjusted"	1
40	"May 2013"	"SPY.Adjusted.to.SPY.Adjusted"	1
41	"Jun 2013"	"SPY.Adjusted.to.SPY.Adjusted"	1
42	"Jul 2013"	"SPY.Adjusted.to.SPY.Adjusted"	1
43	"Aug 2013"	"SPY.Adjusted.to.SPY.Adjusted"	1
44	"Sep 2013"	"SPY.Adjusted.to.SPY.Adjusted"	1
45	"Oct 2013"	"SPY.Adjusted.to.SPY.Adjusted"	1
46	"Nov 2013"	"SPY.Adjusted.to.SPY.Adjusted"	1
47	"Dec 2013"	"SPY.Adjusted.to.SPY.Adjusted"	1
48	"Jan 2014"	"SPY.Adjusted.to.SPY.Adjusted"	1
49	"Feb 2014"	"SPY.Adjusted.to.SPY.Adjusted"	1
50	"Mar 2014"	"SPY.Adjusted.to.SPY.Adjusted"	1
51	"Apr 2014"	"SPY.Adjusted.to.SPY.Adjusted"	1
52	"May 2014"	"SPY.Adjusted.to.SPY.Adjusted"	1
53	"Jun 2014"	"SPY.Adjusted.to.SPY.Adjusted"	1
54	"Jul 2014"	"SPY.Adjusted.to.SPY.Adjusted"	1
55	"Aug 2014"	"SPY.Adjusted.to.SPY.Adjusted"	1
56	"Sep 2014"	"SPY.Adjusted.to.SPY.Adjusted"	0.999999999999999
57	"Mar 2010"	"NMPAX.Adjusted"	0
58	"Apr 2010"	"NMPAX.Adjusted"	0
59	"May 2010"	"NMPAX.Adjusted"	0
60	"Jun 2010"	"NMPAX.Adjusted"	0
61	"Jul 2010"	"NMPAX.Adjusted"	0
62	"Aug 2010"	"NMPAX.Adjusted"	0
63	"Sep 2010"	"NMPAX.Adjusted"	0
64	"Oct 2010"	"NMPAX.Adjusted"	0
65	"Nov 2010"	"NMPAX.Adjusted"	0
66	"Dec 2010"	"NMPAX.Adjusted"	0
67	"Jan 2011"	"NMPAX.Adjusted"	0
68	"Feb 2011"	"NMPAX.Adjusted"	1.06108640065787
69	"Mar 2011"	"NMPAX.Adjusted"	1.05173073991827
70	"Apr 2011"	"NMPAX.Adjusted"	1.04602828632392
71	"May 2011"	"NMPAX.Adjusted"	1.08676074439064
72	"Jun 2011"	"NMPAX.Adjusted"	1.04359700256314
73	"Jul 2011"	"NMPAX.Adjusted"	1.10666644455313
74	"Aug 2011"	"NMPAX.Adjusted"	1.15411804696088
75	"Sep 2011"	"NMPAX.Adjusted"	1.22439099328111
76	"Oct 2011"	"NMPAX.Adjusted"	1.25160800660465
77	"Nov 2011"	"NMPAX.Adjusted"	1.25851370061312
78	"Dec 2011"	"NMPAX.Adjusted"	1.29667580252125
79	"Jan 2012"	"NMPAX.Adjusted"	1.31720063152754
80	"Feb 2012"	"NMPAX.Adjusted"	1.29909118923746
81	"Mar 2012"	"NMPAX.Adjusted"	1.28858343235221
82	"Apr 2012"	"NMPAX.Adjusted"	1.28567449875175
83	"May 2012"	"NMPAX.Adjusted"	1.2526740208719
84	"Jun 2012"	"NMPAX.Adjusted"	1.22610652908069
85	"Jul 2012"	"NMPAX.Adjusted"	1.22134803223935
86	"Aug 2012"	"NMPAX.Adjusted"	1.23445605282328
87	"Sep 2012"	"NMPAX.Adjusted"	1.16889560078312
88	"Oct 2012"	"NMPAX.Adjusted"	0.994841415503072
89	"Nov 2012"	"NMPAX.Adjusted"	0.987070003449793
90	"Dec 2012"	"NMPAX.Adjusted"	0.97888260953855
91	"Jan 2013"	"NMPAX.Adjusted"	0.993480802956409
92	"Feb 2013"	"NMPAX.Adjusted"	0.991860502031847
93	"Mar 2013"	"NMPAX.Adjusted"	1.04739213590947
94	"Apr 2013"	"NMPAX.Adjusted"	1.04067257142102
95	"May 2013"	"NMPAX.Adjusted"	0.950349951300066
96	"Jun 2013"	"NMPAX.Adjusted"	1.13816107062072
97	"Jul 2013"	"NMPAX.Adjusted"	1.12612058935902
98	"Aug 2013"	"NMPAX.Adjusted"	1.15950956495231
99	"Sep 2013"	"NMPAX.Adjusted"	1.20673659275792
100	"Oct 2013"	"NMPAX.Adjusted"	1.18673068913572
101	"Nov 2013"	"NMPAX.Adjusted"	1.19906305875777
102	"Dec 2013"	"NMPAX.Adjusted"	1.22942320915702
103	"Jan 2014"	"NMPAX.Adjusted"	1.0179385074716
104	"Feb 2014"	"NMPAX.Adjusted"	1.01934182171159
105	"Mar 2014"	"NMPAX.Adjusted"	1.00298296141652
106	"Apr 2014"	"NMPAX.Adjusted"	1.02880820074607
107	"May 2014"	"NMPAX.Adjusted"	1.02478599370987
108	"Jun 2014"	"NMPAX.Adjusted"	1.01947974307211
109	"Jul 2014"	"NMPAX.Adjusted"	1.07558822254074
110	"Aug 2014"	"NMPAX.Adjusted"	1.10020771252731
111	"Sep 2014"	"NMPAX.Adjusted"	1.04877404104575
112	"Mar 2010"	"NMSCX.Adjusted"	0
113	"Apr 2010"	"NMSCX.Adjusted"	0
114	"May 2010"	"NMSCX.Adjusted"	0
115	"Jun 2010"	"NMSCX.Adjusted"	0
116	"Jul 2010"	"NMSCX.Adjusted"	0
117	"Aug 2010"	"NMSCX.Adjusted"	0
118	"Sep 2010"	"NMSCX.Adjusted"	0
119	"Oct 2010"	"NMSCX.Adjusted"	0
120	"Nov 2010"	"NMSCX.Adjusted"	0
121	"Dec 2010"	"NMSCX.Adjusted"	0
122	"Jan 2011"	"NMSCX.Adjusted"	0
123	"Feb 2011"	"NMSCX.Adjusted"	1.1458562833222
124	"Mar 2011"	"NMSCX.Adjusted"	1.12659518053633
125	"Apr 2011"	"NMSCX.Adjusted"	1.11956385065785
126	"May 2011"	"NMSCX.Adjusted"	1.18445026274471
127	"Jun 2011"	"NMSCX.Adjusted"	1.14041183520886
128	"Jul 2011"	"NMSCX.Adjusted"	1.21652071923484
129	"Aug 2011"	"NMSCX.Adjusted"	1.18784434343027
130	"Sep 2011"	"NMSCX.Adjusted"	1.25034692109191
131	"Oct 2011"	"NMSCX.Adjusted"	1.30727053189124
132	"Nov 2011"	"NMSCX.Adjusted"	1.3119883158686
133	"Dec 2011"	"NMSCX.Adjusted"	1.33887919981757
134	"Jan 2012"	"NMSCX.Adjusted"	1.36796168620805
135	"Feb 2012"	"NMSCX.Adjusted"	1.31435555090325
136	"Mar 2012"	"NMSCX.Adjusted"	1.31118543311826
137	"Apr 2012"	"NMSCX.Adjusted"	1.3175892498455
138	"May 2012"	"NMSCX.Adjusted"	1.2814197861016
139	"Jun 2012"	"NMSCX.Adjusted"	1.27896937647256
140	"Jul 2012"	"NMSCX.Adjusted"	1.27404754460517
141	"Aug 2012"	"NMSCX.Adjusted"	1.27523681792167
142	"Sep 2012"	"NMSCX.Adjusted"	1.22048100155635
143	"Oct 2012"	"NMSCX.Adjusted"	1.03359652690093
144	"Nov 2012"	"NMSCX.Adjusted"	1.05042337717099
145	"Dec 2012"	"NMSCX.Adjusted"	1.04142398649654
146	"Jan 2013"	"NMSCX.Adjusted"	1.00527379160676
147	"Feb 2013"	"NMSCX.Adjusted"	1.07799556010389
148	"Mar 2013"	"NMSCX.Adjusted"	1.09577387470901
149	"Apr 2013"	"NMSCX.Adjusted"	1.06836613937244
150	"May 2013"	"NMSCX.Adjusted"	1.10544479824513
151	"Jun 2013"	"NMSCX.Adjusted"	1.02420294211451
152	"Jul 2013"	"NMSCX.Adjusted"	1.06735695414692
153	"Aug 2013"	"NMSCX.Adjusted"	1.04617594824392
154	"Sep 2013"	"NMSCX.Adjusted"	1.10913156586033
155	"Oct 2013"	"NMSCX.Adjusted"	0.991987474566584
156	"Nov 2013"	"NMSCX.Adjusted"	0.991159214082715
157	"Dec 2013"	"NMSCX.Adjusted"	1.01801888196368
158	"Jan 2014"	"NMSCX.Adjusted"	1.06057267705952
159	"Feb 2014"	"NMSCX.Adjusted"	1.03689999469527
160	"Mar 2014"	"NMSCX.Adjusted"	1.04366830594137
161	"Apr 2014"	"NMSCX.Adjusted"	1.0900349789509
162	"May 2014"	"NMSCX.Adjusted"	1.0580374015552
163	"Jun 2014"	"NMSCX.Adjusted"	1.11859688521194
164	"Jul 2014"	"NMSCX.Adjusted"	1.19132261096667
165	"Aug 2014"	"NMSCX.Adjusted"	1.33127748040051
166	"Sep 2014"	"NMSCX.Adjusted"	1.22402302088006
