"Index"	"date"	"asset"	"price"
1	"Jan 2010"	"SPY.Adjusted"	NA
2	"Feb 2010"	"SPY.Adjusted"	0
3	"Mar 2010"	"SPY.Adjusted"	0
4	"Apr 2010"	"SPY.Adjusted"	0
5	"May 2010"	"SPY.Adjusted"	-0.0794379649187251
6	"Jun 2010"	"SPY.Adjusted"	-0.12710074386996
7	"Jul 2010"	"SPY.Adjusted"	-0.0674993112315178
8	"Aug 2010"	"SPY.Adjusted"	-0.109468270731931
9	"Sep 2010"	"SPY.Adjusted"	-0.0296629626228304
10	"Oct 2010"	"SPY.Adjusted"	0
11	"Nov 2010"	"SPY.Adjusted"	0
12	"Dec 2010"	"SPY.Adjusted"	0
13	"Jan 2011"	"SPY.Adjusted"	0
14	"Feb 2011"	"SPY.Adjusted"	0
15	"Mar 2011"	"SPY.Adjusted"	0
16	"Apr 2011"	"SPY.Adjusted"	0
17	"May 2011"	"SPY.Adjusted"	-0.0112139272271016
18	"Jun 2011"	"SPY.Adjusted"	-0.0279171894604768
19	"Jul 2011"	"SPY.Adjusted"	-0.0473651191969887
20	"Aug 2011"	"SPY.Adjusted"	-0.0997490589711418
21	"Sep 2011"	"SPY.Adjusted"	-0.162249058971142
22	"Oct 2011"	"SPY.Adjusted"	-0.0707340025094102
23	"Nov 2011"	"SPY.Adjusted"	-0.0745765370138016
24	"Dec 2011"	"SPY.Adjusted"	-0.0648525721455459
25	"Jan 2012"	"SPY.Adjusted"	-0.0214868255959848
26	"Feb 2012"	"SPY.Adjusted"	0
27	"Mar 2012"	"SPY.Adjusted"	0
28	"Apr 2012"	"SPY.Adjusted"	-0.00669742521208527
29	"May 2012"	"SPY.Adjusted"	-0.0663045095996428
30	"Jun 2012"	"SPY.Adjusted"	-0.0284268492335169
31	"Jul 2012"	"SPY.Adjusted"	-0.0169668105372824
32	"Aug 2012"	"SPY.Adjusted"	0
33	"Sep 2012"	"SPY.Adjusted"	0
34	"Oct 2012"	"SPY.Adjusted"	-0.0182211019085344
35	"Nov 2012"	"SPY.Adjusted"	-0.0126755491537631
36	"Dec 2012"	"SPY.Adjusted"	-0.00381706877925825
37	"Jan 2013"	"SPY.Adjusted"	0
38	"Feb 2013"	"SPY.Adjusted"	0
39	"Mar 2013"	"SPY.Adjusted"	0
40	"Apr 2013"	"SPY.Adjusted"	0
41	"May 2013"	"SPY.Adjusted"	0
42	"Jun 2013"	"SPY.Adjusted"	-0.0133575818387056
43	"Jul 2013"	"SPY.Adjusted"	0
44	"Aug 2013"	"SPY.Adjusted"	-0.029977033724163
45	"Sep 2013"	"SPY.Adjusted"	0
46	"Oct 2013"	"SPY.Adjusted"	0
47	"Nov 2013"	"SPY.Adjusted"	0
48	"Dec 2013"	"SPY.Adjusted"	0
49	"Jan 2014"	"SPY.Adjusted"	-0.0352459016393442
50	"Feb 2014"	"SPY.Adjusted"	0
51	"Mar 2014"	"SPY.Adjusted"	0
52	"Apr 2014"	"SPY.Adjusted"	0
53	"May 2014"	"SPY.Adjusted"	0
54	"Jun 2014"	"SPY.Adjusted"	0
55	"Jul 2014"	"SPY.Adjusted"	-0.0134375638667485
56	"Aug 2014"	"SPY.Adjusted"	0
57	"Sep 2014"	"SPY.Adjusted"	-0.00787205420756321
58	"Feb 2010"	"NMPAX.Adjusted"	NA
59	"Mar 2010"	"NMPAX.Adjusted"	0
60	"Apr 2010"	"NMPAX.Adjusted"	0
61	"May 2010"	"NMPAX.Adjusted"	-0.0716763005780349
62	"Jun 2010"	"NMPAX.Adjusted"	-0.132947976878613
63	"Jul 2010"	"NMPAX.Adjusted"	-0.0728323699421967
64	"Aug 2010"	"NMPAX.Adjusted"	-0.117919075144509
65	"Sep 2010"	"NMPAX.Adjusted"	-0.0196531791907515
66	"Oct 2010"	"NMPAX.Adjusted"	0
67	"Nov 2010"	"NMPAX.Adjusted"	0
68	"Dec 2010"	"NMPAX.Adjusted"	0
69	"Jan 2011"	"NMPAX.Adjusted"	0
70	"Feb 2011"	"NMPAX.Adjusted"	0
71	"Mar 2011"	"NMPAX.Adjusted"	0
72	"Apr 2011"	"NMPAX.Adjusted"	0
73	"May 2011"	"NMPAX.Adjusted"	-0.0138760407030527
74	"Jun 2011"	"NMPAX.Adjusted"	-0.0342275670675301
75	"Jul 2011"	"NMPAX.Adjusted"	-0.0684551341350601
76	"Aug 2011"	"NMPAX.Adjusted"	-0.135060129509713
77	"Sep 2011"	"NMPAX.Adjusted"	-0.225716928769658
78	"Oct 2011"	"NMPAX.Adjusted"	-0.120259019426457
79	"Nov 2011"	"NMPAX.Adjusted"	-0.123034227567068
80	"Dec 2011"	"NMPAX.Adjusted"	-0.126734505087882
81	"Jan 2012"	"NMPAX.Adjusted"	-0.0693802035152636
82	"Feb 2012"	"NMPAX.Adjusted"	-0.0277520814061055
83	"Mar 2012"	"NMPAX.Adjusted"	-0.00925069380203491
84	"Apr 2012"	"NMPAX.Adjusted"	-0.0120259019426456
85	"May 2012"	"NMPAX.Adjusted"	-0.0767807585568916
86	"Jun 2012"	"NMPAX.Adjusted"	-0.0582793709528214
87	"Jul 2012"	"NMPAX.Adjusted"	-0.0592044403330249
88	"Aug 2012"	"NMPAX.Adjusted"	-0.0259019426456982
89	"Sep 2012"	"NMPAX.Adjusted"	-0.00740055504162773
90	"Oct 2012"	"NMPAX.Adjusted"	-0.0157261794634593
91	"Nov 2012"	"NMPAX.Adjusted"	0
92	"Dec 2012"	"NMPAX.Adjusted"	0
93	"Jan 2013"	"NMPAX.Adjusted"	0
94	"Feb 2013"	"NMPAX.Adjusted"	0
95	"Mar 2013"	"NMPAX.Adjusted"	0
96	"Apr 2013"	"NMPAX.Adjusted"	0
97	"May 2013"	"NMPAX.Adjusted"	0
98	"Jun 2013"	"NMPAX.Adjusted"	-0.0185185185185185
99	"Jul 2013"	"NMPAX.Adjusted"	0
100	"Aug 2013"	"NMPAX.Adjusted"	-0.0377777777777778
101	"Sep 2013"	"NMPAX.Adjusted"	0
102	"Oct 2013"	"NMPAX.Adjusted"	0
103	"Nov 2013"	"NMPAX.Adjusted"	0
104	"Dec 2013"	"NMPAX.Adjusted"	0
105	"Jan 2014"	"NMPAX.Adjusted"	-0.020945945945946
106	"Feb 2014"	"NMPAX.Adjusted"	0
107	"Mar 2014"	"NMPAX.Adjusted"	0
108	"Apr 2014"	"NMPAX.Adjusted"	-0.015748031496063
109	"May 2014"	"NMPAX.Adjusted"	0
110	"Jun 2014"	"NMPAX.Adjusted"	0
111	"Jul 2014"	"NMPAX.Adjusted"	-0.0427942101950913
112	"Aug 2014"	"NMPAX.Adjusted"	0
113	"Sep 2014"	"NMPAX.Adjusted"	-0.0106382978723404
114	"Feb 2010"	"NMSCX.Adjusted"	NA
115	"Mar 2010"	"NMSCX.Adjusted"	0
116	"Apr 2010"	"NMSCX.Adjusted"	0
117	"May 2010"	"NMSCX.Adjusted"	-0.0729579698651863
118	"Jun 2010"	"NMSCX.Adjusted"	-0.13877874702617
119	"Jul 2010"	"NMSCX.Adjusted"	-0.084853291038858
120	"Aug 2010"	"NMSCX.Adjusted"	-0.153053132434576
121	"Sep 2010"	"NMSCX.Adjusted"	-0.0563045202220458
122	"Oct 2010"	"NMSCX.Adjusted"	-0.0166534496431401
123	"Nov 2010"	"NMSCX.Adjusted"	0
124	"Dec 2010"	"NMSCX.Adjusted"	0
125	"Jan 2011"	"NMSCX.Adjusted"	0
126	"Feb 2011"	"NMSCX.Adjusted"	0
127	"Mar 2011"	"NMSCX.Adjusted"	0
128	"Apr 2011"	"NMSCX.Adjusted"	0
129	"May 2011"	"NMSCX.Adjusted"	-0.00916230366492143
130	"Jun 2011"	"NMSCX.Adjusted"	-0.0274869109947644
131	"Jul 2011"	"NMSCX.Adjusted"	-0.0589005235602094
132	"Aug 2011"	"NMSCX.Adjusted"	-0.130890052356021
133	"Sep 2011"	"NMSCX.Adjusted"	-0.220549738219895
134	"Oct 2011"	"NMSCX.Adjusted"	-0.104057591623037
135	"Nov 2011"	"NMSCX.Adjusted"	-0.0981675392670157
136	"Dec 2011"	"NMSCX.Adjusted"	-0.0876963350785341
137	"Jan 2012"	"NMSCX.Adjusted"	-0.0281413612565448
138	"Feb 2012"	"NMSCX.Adjusted"	-0.00719895287958128
139	"Mar 2012"	"NMSCX.Adjusted"	0
140	"Apr 2012"	"NMSCX.Adjusted"	-0.0121794871794871
141	"May 2012"	"NMSCX.Adjusted"	-0.0749999999999998
142	"Jun 2012"	"NMSCX.Adjusted"	-0.0352564102564101
143	"Jul 2012"	"NMSCX.Adjusted"	-0.0429487179487179
144	"Aug 2012"	"NMSCX.Adjusted"	-0.00705128205128203
145	"Sep 2012"	"NMSCX.Adjusted"	0
146	"Oct 2012"	"NMSCX.Adjusted"	-0.0201765447667086
147	"Nov 2012"	"NMSCX.Adjusted"	-0.0107187894073139
148	"Dec 2012"	"NMSCX.Adjusted"	0
149	"Jan 2013"	"NMSCX.Adjusted"	0
150	"Feb 2013"	"NMSCX.Adjusted"	0
151	"Mar 2013"	"NMSCX.Adjusted"	0
152	"Apr 2013"	"NMSCX.Adjusted"	-0.00331125827814582
153	"May 2013"	"NMSCX.Adjusted"	0
154	"Jun 2013"	"NMSCX.Adjusted"	-0.00106157112526539
155	"Jul 2013"	"NMSCX.Adjusted"	0
156	"Aug 2013"	"NMSCX.Adjusted"	-0.0248756218905472
157	"Sep 2013"	"NMSCX.Adjusted"	0
158	"Oct 2013"	"NMSCX.Adjusted"	0
159	"Nov 2013"	"NMSCX.Adjusted"	0
160	"Dec 2013"	"NMSCX.Adjusted"	0
161	"Jan 2014"	"NMSCX.Adjusted"	-0.038512035010941
162	"Feb 2014"	"NMSCX.Adjusted"	0
163	"Mar 2014"	"NMSCX.Adjusted"	0
164	"Apr 2014"	"NMSCX.Adjusted"	-0.0281507145950627
165	"May 2014"	"NMSCX.Adjusted"	-0.02555218709398
166	"Jun 2014"	"NMSCX.Adjusted"	0
167	"Jul 2014"	"NMSCX.Adjusted"	-0.0552016985138004
168	"Aug 2014"	"NMSCX.Adjusted"	-0.0148619957537155
169	"Sep 2014"	"NMSCX.Adjusted"	-0.0250530785562632
170	"Feb 2010"	"VEA.Adjusted"	NA
171	"Mar 2010"	"VEA.Adjusted"	0
172	"Apr 2010"	"VEA.Adjusted"	-0.0276022613900898
173	"May 2010"	"VEA.Adjusted"	-0.139674093781177
174	"Jun 2010"	"VEA.Adjusted"	-0.155304289990023
175	"Jul 2010"	"VEA.Adjusted"	-0.0568673096109079
176	"Aug 2010"	"VEA.Adjusted"	-0.0907881609577651
177	"Sep 2010"	"VEA.Adjusted"	-0.00266045892916533
178	"Oct 2010"	"VEA.Adjusted"	0
179	"Nov 2010"	"VEA.Adjusted"	-0.0490384615384615
180	"Dec 2010"	"VEA.Adjusted"	0
181	"Jan 2011"	"VEA.Adjusted"	0
182	"Feb 2011"	"VEA.Adjusted"	0
183	"Mar 2011"	"VEA.Adjusted"	-0.0252347417840374
184	"Apr 2011"	"VEA.Adjusted"	0
185	"May 2011"	"VEA.Adjusted"	-0.0269274376417236
186	"Jun 2011"	"VEA.Adjusted"	-0.0388321995464854
187	"Jul 2011"	"VEA.Adjusted"	-0.0617913832199546
188	"Aug 2011"	"VEA.Adjusted"	-0.142290249433107
189	"Sep 2011"	"VEA.Adjusted"	-0.239512471655329
190	"Oct 2011"	"VEA.Adjusted"	-0.165249433106576
191	"Nov 2011"	"VEA.Adjusted"	-0.182823129251701
192	"Dec 2011"	"VEA.Adjusted"	-0.200113378684807
193	"Jan 2012"	"VEA.Adjusted"	-0.155328798185941
194	"Feb 2012"	"VEA.Adjusted"	-0.113945578231292
195	"Mar 2012"	"VEA.Adjusted"	-0.111111111111111
196	"Apr 2012"	"VEA.Adjusted"	-0.132369614512472
197	"May 2012"	"VEA.Adjusted"	-0.229308390022676
198	"Jun 2012"	"VEA.Adjusted"	-0.175453514739229
199	"Jul 2012"	"VEA.Adjusted"	-0.173185941043084
