"Index"	"date"	"asset"	"price"
1	"Jan 2010"	"SPY.Adjusted"	98.02
2	"Feb 2010"	"SPY.Adjusted"	101.08
3	"Mar 2010"	"SPY.Adjusted"	107.23
4	"Apr 2010"	"SPY.Adjusted"	108.89
5	"May 2010"	"SPY.Adjusted"	100.24
6	"Jun 2010"	"SPY.Adjusted"	95.05
7	"Jul 2010"	"SPY.Adjusted"	101.54
8	"Aug 2010"	"SPY.Adjusted"	96.97
9	"Sep 2010"	"SPY.Adjusted"	105.66
10	"Oct 2010"	"SPY.Adjusted"	109.7
11	"Nov 2010"	"SPY.Adjusted"	109.7
12	"Dec 2010"	"SPY.Adjusted"	117.03
13	"Jan 2011"	"SPY.Adjusted"	119.76
14	"Feb 2011"	"SPY.Adjusted"	123.92
15	"Mar 2011"	"SPY.Adjusted"	123.93
16	"Apr 2011"	"SPY.Adjusted"	127.52
17	"May 2011"	"SPY.Adjusted"	126.09
18	"Jun 2011"	"SPY.Adjusted"	123.96
19	"Jul 2011"	"SPY.Adjusted"	121.48
20	"Aug 2011"	"SPY.Adjusted"	114.8
21	"Sep 2011"	"SPY.Adjusted"	106.83
22	"Oct 2011"	"SPY.Adjusted"	118.5
23	"Nov 2011"	"SPY.Adjusted"	118.01
24	"Dec 2011"	"SPY.Adjusted"	119.25
25	"Jan 2012"	"SPY.Adjusted"	124.78
26	"Feb 2012"	"SPY.Adjusted"	130.19
27	"Mar 2012"	"SPY.Adjusted"	134.38
28	"Apr 2012"	"SPY.Adjusted"	133.48
29	"May 2012"	"SPY.Adjusted"	125.47
30	"Jun 2012"	"SPY.Adjusted"	130.56
31	"Jul 2012"	"SPY.Adjusted"	132.1
32	"Aug 2012"	"SPY.Adjusted"	135.41
33	"Sep 2012"	"SPY.Adjusted"	138.85
34	"Oct 2012"	"SPY.Adjusted"	136.32
35	"Nov 2012"	"SPY.Adjusted"	137.09
36	"Dec 2012"	"SPY.Adjusted"	138.32
37	"Jan 2013"	"SPY.Adjusted"	145.4
38	"Feb 2013"	"SPY.Adjusted"	147.25
39	"Mar 2013"	"SPY.Adjusted"	152.84
40	"Apr 2013"	"SPY.Adjusted"	155.78
41	"May 2013"	"SPY.Adjusted"	159.46
42	"Jun 2013"	"SPY.Adjusted"	157.33
43	"Jul 2013"	"SPY.Adjusted"	165.46
44	"Aug 2013"	"SPY.Adjusted"	160.5
45	"Sep 2013"	"SPY.Adjusted"	165.58
46	"Oct 2013"	"SPY.Adjusted"	173.24
47	"Nov 2013"	"SPY.Adjusted"	178.38
48	"Dec 2013"	"SPY.Adjusted"	183
49	"Jan 2014"	"SPY.Adjusted"	176.55
50	"Feb 2014"	"SPY.Adjusted"	184.59
51	"Mar 2014"	"SPY.Adjusted"	186.12
52	"Apr 2014"	"SPY.Adjusted"	187.41
53	"May 2014"	"SPY.Adjusted"	191.76
54	"Jun 2014"	"SPY.Adjusted"	195.72
55	"Jul 2014"	"SPY.Adjusted"	193.09
56	"Aug 2014"	"SPY.Adjusted"	200.71
57	"Sep 2014"	"SPY.Adjusted"	199.13
58	"Feb 2010"	"NMPAX.Adjusted"	7.74
59	"Mar 2010"	"NMPAX.Adjusted"	8.29
60	"Apr 2010"	"NMPAX.Adjusted"	8.65
61	"May 2010"	"NMPAX.Adjusted"	8.03
62	"Jun 2010"	"NMPAX.Adjusted"	7.5
63	"Jul 2010"	"NMPAX.Adjusted"	8.02
64	"Aug 2010"	"NMPAX.Adjusted"	7.63
65	"Sep 2010"	"NMPAX.Adjusted"	8.48
66	"Oct 2010"	"NMPAX.Adjusted"	8.78
67	"Nov 2010"	"NMPAX.Adjusted"	9.04
68	"Dec 2010"	"NMPAX.Adjusted"	9.63
69	"Jan 2011"	"NMPAX.Adjusted"	9.82
70	"Feb 2011"	"NMPAX.Adjusted"	10.27
71	"Mar 2011"	"NMPAX.Adjusted"	10.52
72	"Apr 2011"	"NMPAX.Adjusted"	10.81
73	"May 2011"	"NMPAX.Adjusted"	10.66
74	"Jun 2011"	"NMPAX.Adjusted"	10.44
75	"Jul 2011"	"NMPAX.Adjusted"	10.07
